Age,Birth Place,Birthday,College,Current Status,Experience (in seasons),Height (inches),Name,Position,Weight (lbs),Years Played
57,"Ann Arbor , MI",5/16/1960,Missouri,Retired,1,74,"Sealby, Randy",,230,1987 - 1987
,"Chicopee Falls , MA",5/22/1918,American International,Retired,4,73,"Sergienko, George",,248,1943 - 1946
,"Cleveland , OH",2/9/1896,No College,Retired,1,,"Beckwith, Norm",,150,1920 - 1920
38,"San Luis Obispo Co. , CA",9/6/1978,Arizona,Retired,7,76,"Tafoya, Joe",,258,2001 - 2008
28,"Carbondale , IL",9/12/1988,Arkansas State,Retired,3,72,"Hall, Bryan",,280,2011 - 2013
34,,3/3/1983,Georgia Tech,Retired,1,78,"Wallace, Kyle",,295,2005 - 2005
62,"Miami , FL",9/14/1954,Florida,Retired,2,77,"Darby, Al",,221,1976 - 1978
28,,5/28/1989,Michigan State,Retired,2,74,"Dell, Mark",,195,2011 - 2012
74,"Brooklyn , NY",3/3/1943,Hofstra,Retired,1,74,"D'Amato, Mike",,205,1968 - 1968
60,"Baytown , TX",7/7/1956,Arkansas,Retired,2,70,"Sampson, Howard",,185,1978 - 1979
78,"Laurel , MS",1/21/1939,U. of Pacific,Retired,1,75,"Bass, Norm",,210,1964 - 1964
29,"Dayton , OH",4/1/1988,Ohio State,Active,8,71,"Coleman, Kurt",SS,200,
63,"Greenfield , IA",10/7/1953,Colorado State,Retired,4,76,"Larson, Bill",,225,1975 - 1980
26,"Rodeo , CA",7/28/1990,Ohio U.,Active,4,72,"Carrie, T.J.",SS,205,
43,"Jacksonville , FL",4/12/1974,Florida,Retired,6,70,"Weary, Fred",,181,1998 - 2003
29,"Fort Myers , FL",11/30/1987,South Florida,Active,8,72,"Allen, Nate",DB,210,
29,"Evanston , IL",10/25/1987,Illinois State,Retired,1,77,"Riley, Chris",,305,2011 - 2012
,"Bridgeton , NJ",9/14/1927,Georgia,Retired,7,70,"Reid, Breezy",,187,1950 - 1956
,"Long Island , NY",9/12/1924,Columbia,Retired,1,74,"Gehrke, Bruce",,190,1948 - 1948
,"Coffeyville , KS",7/30/1937,Oklahoma,Retired,3,72,"Baker, Dave",,192,1959 - 1961
41,"Hamden , CT",10/13/1975,Buffalo,Retired,8,77,"Ellis, Ed",,325,1997 - 2004
24,,5/5/1993,Akron,Active,1,75,"Williams, Isaiah",OT,295,
39,"Fort Wayne , IN",5/17/1978,Iowa,Retired,1,74,"Baker, Jason",,205,2001 - 2011
33,"Bradenton , FL",6/9/1983,Nebraska,Retired,7,71,"Washington, Fabian",,175,2005 - 2011
69,"Canton , GA",7/31/1947,Mississippi State,Retired,1,70,"Pharr, Tommy",,187,1970 - 1970
43,"El Dorado , AR",12/27/1973,Arkansas,Retired,1,76,"Alderson, Winston",,344,1997 - 1997
59,"Jamestown , OH",6/14/1957,Colorado State,Retired,2,69,"Bell, Mark",,175,1980 - 1981
30,"Pensacola , FL",9/4/1986,Maryland,Retired,0,77,"Randolph, Dane",,310,2009 - 2009
24,"Kansas City , MO",1/15/1993,Pittsburg State,Active,2,74,"Bausby, DeVante",CB,190,
,"Chicago , IL",3/19/1919,Creighton,Retired,2,70,"Knolla, Johnny",,180,1942 - 1945
81,"Los Angeles , CA",1/23/1936,Compton CC CA,Retired,5,74,"Lewis, Joe",,256,1958 - 1962
26,,1/24/1991,Texas Christian,Retired,1,68,"James, Waymon",,203,2014 - 2014
,"St. Helena , CA",11/23/1909,St. Mary's (CA),Retired,2,74,"Nichelini, Al",,207,1935 - 1936
27,,5/3/1990,Iowa,Retired,1,71,"Castillo, Greg",,187,2013 - 2013
51,"Selma , AL",10/30/1965,Illinois,Retired,1,70,"Harkey, Lance",,180,1987 - 1987
59,"Cincinnati , OH",5/30/1958,Notre Dame,Retired,1,78,"Foley, Tim",,275,1981 - 1981
39,"Houston , TX",9/8/1977,Texas A&M,Retired,9,69,"Webster, Jason",,187,2000 - 2008
78,"Rocky Mount , NC",12/10/1938,Clemson,Retired,1,73,"Mathis, Bill",,220,1960 - 1969
27,"Stockton , CA",1/1/1990,Montana,Active,6,74,"Johnson, Trumaine",CB,208,
30,"Casper , WY",11/19/1986,Utah,Active,8,76,"Beadles, Zane",G,305,
,"New York , NY",4/23/1959,North Texas,Retired,7,74,"Elliott, Tony",,282,1982 - 1988
34,,5/29/1983,Eastern Michigan,Retired,0,78,"Kaleita, Tom",,318,2006 - 2006
30,Frankfurt Germany,2/18/1987,Syracuse,Retired,1,74,"Lewis, Andrew",,303,2011 - 2011
68,"Brownsville , TN",1/11/1949,Tennessee State,Retired,5,74,"Thaxton, Jim",,240,1973 - 1978
27,"San Diego , CA",1/19/1990,USC,Active,3,75,"Holmes, Khaled",C,309,
31,,11/17/1985,Duke,Retired,1,78,"Goldberg, Cameron",,265,2009 - 2009
27,"Clifton Heights , PA",4/26/1990,Pittsburgh,Active,4,76,"Savage, Tom",QB,230,
86,"Baltimore , MD",8/12/1930,Maryland,Retired,3,74,"Scarbath, Jack",,206,1953 - 1956
66,"Houston , TX",9/16/1950,Tennessee State,Retired,4,76,"Kindle, Greg",,265,1974 - 1977
22,"Harvey , LA",8/2/1994,Mississippi,Active,2,77,"Tunsil, Laremy",OG,316,
58,"Richmond , VA",10/23/1958,Virginia,Retired,1,68,"Taylor, Greg",,175,1982 - 1982
33,"San Jose , CA",2/6/1984,Washington State,Retired,7,71,"Frampton, Eric",,202,2007 - 2013
,"Hillsboro , TX",6/18/1910,Texas A&M,Retired,8,76,"Malone, Chuck",,206,1934 - 1942
,"Akron , OH",6/21/1929,Kentucky,Retired,1,75,"Gain, Bob",,256,1952 - 1964
64,"Tecumseh , NE",1/21/1953,Nebraska,Retired,6,71,"Davis, Tony",,212,1976 - 1981
29,"Atlanta , GA",5/3/1988,LSU,Unsigned free agent,8,72,"Riley, Perry",MLB,240,
32,"Providence , RI",10/27/1984,Boston College,Active,1,72,"Blackmon, Will",FS,212,
34,"Savannah , GA",11/11/1982,Central Florida,Retired,3,79,"Carrington, Paul",,270,2006 - 2008
45,"Shreveport , LA",9/2/1971,UCLA,Retired,9,76,"Maddox, Tommy",,219,1992 - 2005
25,"Fort Knox , KY",7/12/1991,Georgia Southern,Retired,3,74,"Eubanks, Darius",,222,2013 - 2015
37,,4/26/1980,Virginia Tech,Retired,0,73,"Lewis, Kevin",,285,2006 - 2006
35,"Long Beach , CA",2/9/1982,Washington,Retired,3,70,"Johnson, Derrick",,186,2005 - 2008
78,"New Bedford , MA",2/17/1939,Michigan State,Retired,1,72,"Fontes, Wayne",,190,1962 - 1962
52,"Beaumont , TX",12/15/1964,Southern Methodist,Retired,1,73,"Ball, Jerry",,330,1987 - 1999
47,,12/1/1969,Syracuse,Retired,1,78,"Dees, Andre",,266,1992 - 1992
33,,5/5/1984,Wake Forest,Retired,1,73,"Ghee, Patrick",,211,2007 - 2008
,"Orlando , FL",4/19/1909,Temple,Retired,1,74,"Johnson, Lorne",,195,1934 - 1934
32,,8/21/1984,No College,Retired,1,73,"Scaccia, Fabrizio",,210,2010 - 2011
47,"Fort Lauderdale , FL",10/11/1969,Florida,Retired,5,76,"Dixon, Cal",,302,1992 - 1996
36,,9/12/1980,West Virginia,Retired,3,75,"Davis, Jason",,320,2003 - 2006
,"Hurley , WI",6/4/1921,Wisconsin,Retired,1,71,"Calligaro, Len",,190,1944 - 1944
34,"Navasota , TX",2/2/1983,Miami (Fla.),Retired,1,74,"Maxey, Marcus",,200,2006 - 2007
,"Wakefield , MI",11/24/1915,Northwestern,Retired,4,74,"Zorich, George",,213,1944 - 1947
,", KY",12/10/1898,No College,Retired,2,,"Lanham, Charlie",,170,1922 - 1923
31,"Arlington , TX",10/3/1985,Missouri,Retired,0,75,"Ekwerekwu, Brad",,215,2007 - 2007
,"Sugar Land , TX",2/18/1924,Texas,Retired,1,76,"Kelley, Ed",,230,1949 - 1949
,"Chicago , IL",8/15/1908,Notre Dame,Retired,1,71,"Leahy, Bernie",,185,1932 - 1932
36,"Carroll , IA",1/22/1981,Iowa State,Retired,3,77,"Carstens, Jordan",,300,2004 - 2006
25,"Miami , FL",12/26/1991,Kansas State,Active,1,72,"Evans, Randall",CB,195,
26,"Topeka , KS",12/13/1990,Youngstown State,Retired,3,74,"Mady, Lamar",,315,2013 - 2015
,"Pender , NE",1/22/1898,Nebraska,Retired,1,76,"Wenke, Ad",,220,1923 - 1923
57,"San Antonio , TX",9/9/1959,Georgia Tech,Retired,1,74,"Taylor, Jim Bob",,205,1983 - 1983
40,"Great Falls , MT",9/30/1976,Montana,Retired,2,73,"Neil, Dallas",,235,2000 - 2002
68,"Pasadena , CA",4/11/1949,San Diego State,Retired,3,75,"Reynolds, Tom",,200,1972 - 1974
,"Crowley , LA",10/21/1972,Louisiana-Lafayette,Retired,7,73,"Thomas, Orlando",,225,1995 - 2001
27,"Los Angeles , CA",8/21/1989,Boise State,Retired,2,71,"Young, Titus",,174,2011 - 2012
,"Minneapolis , MN",6/16/1889,Minnesota,Retired,1,71,"Capron, Ralph",,165,1920 - 1920
35,"Angleton , TX",5/9/1982,Purdue,Retired,5,73,"Gardner, Gilbert",,228,2004 - 2008
77,"Tulare Co. , CA",4/9/1940,San Diego State,Retired,1,74,"Martin, Larry",,270,1966 - 1966
43,"Easley , SC",8/9/1973,Virginia Tech,Retired,1,77,"Hagood, Jay",,306,1997 - 1997
27,"Los Angeles , CA",1/11/1990,Tennessee,Active,6,77,"Jackson, Malik",DT,300,
68,"Bessemer , AL",11/16/1948,Tuskegee,Retired,1,75,"May, Art",,255,1971 - 1971
72,"Houston , TX",10/1/1944,Tennessee State,Retired,2,73,"Johnson, Lee",,200,1969 - 1970
58,"Barstow , CA",11/7/1958,Abilene Christian,Retired,2,79,"Feasel, Greg",,300,1986 - 1987
42,"White Plains , NY",7/1/1974,Duke,Retired,3,75,"Farmer, Ray",,225,1996 - 1998
35,,12/14/1981,North Carolina State,Retired,0,70,"Hall, Tramain",,190,2006 - 2007
53,,12/3/1963,Northeastern,Retired,1,75,"Sandham, Todd",,255,1987 - 1987
30,"Tarrytown , NY",5/12/1987,Indiana,Retired,2,73,"Kirlew, Jammie",,260,2010 - 2011
50,"St. Paul , MN",9/3/1966,Notre Dame,Retired,6,71,"Eilers, Pat",,195,1990 - 1995
25,"Matteson , IL",9/23/1991,Tennessee,Active,4,77,"Fulton, Zach",G,316,
83,"Pittsburgh , PA",12/11/1933,Miami (Fla.),Retired,5,75,"Johnson, Jack",,198,1957 - 1961
,"Long Beach , CA",9/2/1935,Los Angeles State,Retired,2,76,"Anderson, Ralph",,223,1958 - 1960
29,"Georgetown , SC",12/11/1987,South Carolina,Retired,6,80,"Geathers, Clifton",,325,2010 - 2015
32,"Baton Rouge , LA",5/8/1985,Grambling State,Retired,2,77,"Banks, Jason",,296,2008 - 2009
30,,9/29/1986,Florida State,Retired,0,68,"Garvin, Michael Ray",,182,2009 - 2009
,"Ely , MN",4/8/1918,Minnesota,Retired,1,73,"Perko, John",,225,1946 - 1946
49,"Grand Haven , MI",10/4/1967,Michigan,Retired,4,74,"Teeter, Mike",,275,1991 - 1995
40,"Tullahoma , TN",7/30/1976,Tennessee,Retired,1,71,"Hall, Jeff",,190,2000 - 2000
78,"Louisville , KY",1/8/1939,Kentucky,Retired,9,73,"Talamini, Bob",,255,1960 - 1968
25,,12/21/1991,New Mexico State,Retired,2,75,"Wallace, Davonte",,308,2014 - 2015
50,"Denver , CO",6/19/1966,Washington,Retired,1,73,"Erlandson, Tom Jr.",,220,1988 - 1988
29,"Burlington , NC",10/5/1987,North Carolina,Active,9,73,"Tate, Brandon",WR,195,
72,"Bakersfield , CA",8/7/1944,Wyoming,Retired,1,70,"Marion, Jerry",,175,1967 - 1967
72,"Klamath Falls , OR",8/30/1944,Northwestern,Retired,1,76,"McCambridge, John",,245,1967 - 1967
,"Treveskyn , PA",8/27/1920,St. Vincent,Retired,3,71,"Manzini, Bap",,195,1944 - 1948
27,"Miami , FL",3/18/1990,Illinois,Active,7,74,"Liuget, Corey",DE,300,
29,"Kirkwood , MO",9/1/1987,Boston College,Active,7,76,"Herzlich, Mark",OLB,246,
26,,5/30/1991,Hawaii,Retired,1,75,"Daley, Brenden",,250,2014 - 2014
33,"St. Cloud , MN",5/12/1984,Notre Dame,Retired,7,77,"Carlson, John",,248,2008 - 2014
28,"Bakersfield , CA",1/16/1989,Fresno State,Active,6,78,"Harris, Bryce",T,300,
58,"Dallas , TX",9/5/1958,Texas Christian,Retired,1,77,"Talley, Stan",,220,1987 - 1987
26,"Moncks Corner , SC",7/17/1990,South Carolina,Active,4,76,"Johnson, T.J.",OG,300,
38,"Cleveland , OH",8/12/1978,Wisconsin,Retired,1,71,"Chambers, Chris",,210,2001 - 2010
34,"Dallas , TX",4/15/1983,Baylor,Retired,4,73,"Allred, Colin",,242,2006 - 2010
48,"Mobile , AL",10/12/1968,Emporia State,Retired,1,78,"Lett, Leon",,290,1991 - 2001
53,"Marrero , LA",9/4/1963,LSU,Retired,3,70,"James, Garry",,214,1986 - 1988
,"Ashton , RI",2/8/1906,Yale,Retired,1,72,"Caldwell, Bruce",,190,1928 - 1928
27,"Biloxi , MS",9/23/1989,Alabama,Active,3,74,"Norwood, Kevin",WR,210,
97,"Santa Ana , CA",8/28/1919,New Mexico,Retired,1,72,"Agajanian, Ben",,215,1945 - 1964
36,"Columbus , GA",4/10/1981,Troy,Retired,1,69,"Reed, Rayshun",,185,2004 - 2006
27,"Mobile , AL",8/18/1989,Alabama-Birmingham,Active,5,78,"McCants, Matt",T,310,
,"Detroit , MI",9/5/1909,Michigan,Retired,3,68,"Newman, Harry",,179,1933 - 1935
25,"Scottsdale , AZ",7/22/1991,Michigan,Active,4,79,"Lewan, Taylor",T,309,
61,"Fresno , CA",3/7/1956,Fresno State,Retired,6,73,"Glazebrook, Bob",,200,1978 - 1983
45,"Birmingham , AL",4/20/1972,Alabama,Retired,2,75,"Barker, Jay",,220,1995 - 1996
28,,9/7/1988,Delta State,Retired,1,75,"Castile, L.J.",,223,2011 - 2011
34,"Thousand Oaks , CA",11/18/1982,Nevada-Las Vegas,Retired,5,80,"Estandia, Greg",,266,2006 - 2010
58,"Los Angeles , CA",12/5/1958,Southern University,Retired,4,70,"Farmer, George",,175,1982 - 1987
59,"Detroit , MI",9/8/1957,Northwestern,Retired,1,77,"Wells, Norm",,261,1980 - 1980
27,,7/10/1989,Elon,Retired,1,74,"Jeffcoat, Sean",,200,2011 - 2011
35,"Atlanta , GA",12/19/1981,Marshall,Retired,3,74,"Watts, Darius",,190,2004 - 2006
40,"Toledo , OH",7/10/1976,Miami (Ohio),Retired,4,71,"Armour, JoJuan",,220,1999 - 2002
40,"Denver , CO",7/22/1976,Colorado State,Retired,2,76,"Newell, Mike",,300,1999 - 2002
29,Kingston Jamaica,8/19/1987,Oregon,Active,9,71,"Chung, Patrick",SS,215,
77,"Lexington , NE",5/22/1940,Nebraska,Retired,1,74,"Tingelhoff, Mick",,237,1962 - 1978
72,Rapahidveg Hungary,12/29/1944,Princeton,Retired,6,70,"Gogolak, Charlie",,165,1966 - 1972
39,"Bolton , IL",9/10/1977,Iowa,Retired,2,75,"Yamini, Bashir",,201,2000 - 2001
79,"Newark , NJ",6/9/1937,Maryland,Retired,6,73,"Scotti, Ben",,185,1959 - 1964
,"Ashtabula , OH",1/25/1923,Ohio State,Retired,3,71,"Dellerba, Spiro",,200,1947 - 1949
23,"Powder Springs , GA",1/26/1994,Alabama,Active,2,73,"Drake, Kenyan",RB,216,
43,"Dallas , TX",8/9/1973,LSU,Retired,9,73,"Walker, Denard",,190,1997 - 2005
24,"Canton , OH",7/15/1992,Miami (Ohio),Active,3,71,"Rollins, Quinten",CB,195,
34,"Kathleen , GA",9/19/1982,Florida State,Retired,4,70,"Reid, Willie",,192,2006 - 2009
34,"Hollywood , FL",9/8/1982,LSU,Retired,8,73,"Daniels, Travis",,195,2005 - 2012
71,"Kokomo , IN",7/1/1945,California,Retired,1,75,"Frantz, Jack",,230,1968 - 1968
40,"Fairfield , CA",2/16/1977,California,Retired,1,75,"Beck, Matt",,238,2000 - 2000
76,"Long Beach , CA",3/15/1941,West Texas A&M,Retired,5,76,"Petrich, Bob",,252,1963 - 1967
47,"Salinas , CA",3/15/1970,Stanford,Retired,8,75,"Dalman, Chris",,297,1993 - 2000
24,"Cincinnati , OH",7/19/1992,Western Kentucky,Active,2,77,"Fant, George",OT,296,
38,"Live Oak , FL",12/23/1978,Florida,Retired,1,73,"Davis, Andra",,255,2002 - 2011
63,"Beaumont , TX",12/12/1953,Southern Methodist,Retired,4,72,"Harrison, Kenny",,176,1976 - 1980
78,"Youngstown , OH",8/22/1938,The Citadel,Retired,1,72,"Maguire, Paul",,228,1960 - 1970
39,"Cleveland , OH",9/1/1977,Notre Dame,Retired,2,75,"O'Leary, Dan",,248,2001 - 2002
31,"Westlake Village , CA",4/15/1986,Arizona State,Retired,4,74,"Carpenter, Rudy",,215,2009 - 2012
33,"Dublin , OH",1/27/1984,Ohio State,Retired,6,78,"Richardson, Jay",,280,2007 - 2013
64,"Marshall , TX",6/4/1953,Louisiana Tech,Retired,1,75,"Barber, Mike",,235,1976 - 1985
,"Hamilton , OH",8/13/1920,Ohio State,Retired,2,72,"Sarringhaus, Paul",,185,1946 - 1948
36,"Arlington , IL",12/26/1980,Miami (Fla.),Retired,1,72,"Payton, Jarrett",,220,2005 - 2006
58,"Mesa , AZ",12/16/1958,Brigham Young,Retired,1,75,"Oates, Bart",,275,1985 - 1995
66,"Rockaway , NJ",3/11/1951,Penn State,Retired,2,75,"Bannon, Bruce",,225,1973 - 1974
45,"Houston , TX",5/30/1972,Houston,Retired,8,73,"Aldridge, Allen",,254,1994 - 2001
54,"Chicago , IL",12/12/1962,Northern Iowa,Retired,1,71,"Harris, Steve",,194,1987 - 1987
29,,11/7/1987,Rutgers,Retired,2,77,"Barbieri, Howard",,300,2011 - 2013
69,"Little Falls , MN",5/16/1948,South Dakota State,Retired,1,74,"Langer, Jim",,250,1970 - 1981
34,"Rochester , NY",8/24/1982,Penn State,Retired,1,74,"Zemaitis, Alan",,200,2006 - 2007
,"Dinuba , CA",10/3/1913,San Francisco,Retired,8,72,"Letlow, Russ",,214,1936 - 1946
26,"Missoula , MT",4/3/1991,Montana,Active,4,76,"Tripp, Jordan",OLB,244,
,"Pelahatchie , MS",10/23/1914,Mississippi,Retired,9,73,"Kinard, Bruiser",,216,1938 - 1947
37,"Poway , CA",6/7/1980,Colorado,Retired,2,75,"Wahlroos, Drew",,240,2004 - 2006
47,"Toledo , OH",11/17/1969,Tennessee,Retired,2,69,"Webb, Chuck",,201,1991 - 1992
75,"Marinette , WI",12/21/1941,Wisconsin,Retired,2,76,"Pillath, Roger",,242,1965 - 1966
34,,7/28/1982,Nebraska,Retired,0,72,"Amos, Willie",,186,2006 - 2006
48,"Gainesville , FL",3/20/1969,North Carolina State,Retired,2,76,"Harrison, Todd",,260,1992 - 1993
74,"Brooklyn , NY",10/13/1942,Wagner,Retired,5,75,"Kotite, Rich",,230,1967 - 1972
27,"Los Angeles , GA",2/1/1990,Palomar Coll. CA (J.C.),Retired,4,71,"Hakim, Saalim",,188,2012 - 2015
42,"East Mckeesport , PA",5/11/1975,Pittsburgh,Retired,1,72,"Jenkins, John",,188,1998 - 1998
,"Syracuse , NY",2/17/1893,No College,Retired,2,70,"Webb, Art",,210,1920 - 1922
79,"Denver , CO",7/24/1937,McNeese State,Retired,6,71,"Harris, Dick",,187,1960 - 1965
23,"Ontario , CA",11/8/1993,Oklahoma State,Active,1,77,"Bean, Jimmy",DE,251,
25,"Alpine , TX",9/6/1991,Texas-El Paso,Active,1,74,"Showers, Jameill",QB,230,
35,"Camden , NJ",2/22/1982,Tennessee,Retired,6,70,"Baker, Rashad",,200,2004 - 2009
60,"Mineral Wells , TX",10/1/1956,Angelo State,Retired,5,67,"Garrett, Alvin",,178,1980 - 1984
26,,3/30/1991,Montana,Retired,2,79,"Kistler, Danny",,315,2014 - 2015
28,"Philadelphia , PA",7/22/1988,Connecticut,Active,6,69,"McClain, Robert",DB,195,
41,"Paris , TX",1/7/1976,Texas,Retired,1,73,"Akins, Chris",,323,1998 - 1998
44,"Lincoln , NE",8/11/1972,Grambling State,Retired,1,74,"Ceaser, Curtis",,190,1995 - 1995
65,"Tampa , FL",11/13/1951,Penn State,Retired,2,74,"Allen, Doug",,228,1974 - 1975
,"Chicago , IL",1/9/1907,Illinois,Retired,1,71,"Richman, Harry",,186,1929 - 1929
83,"Columbus , OH",3/2/1934,Ohio State,Retired,8,70,"Cassady, Hopalong",,183,1956 - 1963
,"Chicago , IL",8/28/1921,No College,Retired,1,72,"Aberson, Cliff",,195,1946 - 1946
,,,Still,Retired,1,,"Regan, Jim",,172,1925 - 1925
,"Providence , RI",12/26/1917,Holy Cross,Retired,4,74,"Osmanski, Joe",,218,1946 - 1949
67,"St. Louis , MO",6/24/1949,New Mexico,Retired,2,75,"Scarber, Sam",,230,1975 - 1976
23,"Nashville , TN",4/26/1994,Ohio State,Active,2,76,"Perry, Joshua",ILB,253,
28,,7/13/1988,Stanford,Retired,1,70,"Gatewood, Corey",,190,2012 - 2012
58,"Shreveport , LA",3/27/1959,North Texas,Retired,2,75,"Battle, Ron",,220,1981 - 1982
,"Paris , TX",1/30/1920,Baylor,Retired,7,73,"Nelson, Robert",,214,1941 - 1950
39,Walbrzych Poland,3/2/1978,Florida State,Active,1,73,"Janikowski, Sebastian",K,265,
,"Fort Huachuca , AZ",3/15/1964,Hawaii,Retired,9,76,"Hall, Ron",,245,1987 - 1995
84,"Lawrence , MA",6/19/1932,Michigan State,Retired,9,75,"Quinlan, Bill",,248,1957 - 1965
45,"Denver , CO",5/8/1972,Ohio State,Retired,8,73,"Sanders, Chris",,188,1995 - 2002
25,"Pittsburgh , PA",7/18/1991,Boston College,Active,2,79,"Wetzel, John",OT,328,
37,"Paterson , NJ",8/23/1979,Ohio State,Retired,1,77,"Thompson, David",,295,2004 - 2004
52,"Greensboro , NC",1/16/1965,Clemson,Retired,6,73,"Hall, Delton",,195,1987 - 1992
,"Pawhuska , OK",8/6/1920,Oklahoma,Retired,5,72,"Campbell, Bill",,195,1945 - 1949
,"Johnston City , IL",7/1/1911,Illinois Wesleyan,Retired,4,71,"Kaska, Tony",,193,1935 - 1938
,"Chicago , IL",9/5/1896,Illinois,Retired,8,72,"Knop, Oscar",,191,1920 - 1927
,"Cleveland , OH",10/31/1913,Tulsa,Retired,1,70,"Reynolds, Homer",,190,1934 - 1934
,"De Ridder , LA",5/1/1905,Army,Retired,5,70,"Cagle, Chris",,174,1930 - 1934
35,,5/8/1982,Nebraska,Retired,0,76,"Erickson, Mike",,304,2006 - 2006
28,"Laurinburg , NC",9/9/1988,Virginia Tech,Retired,4,70,"Carmichael, Roc",,197,2011 - 2014
,"Cape May , NJ",11/25/1929,Indiana,Retired,2,74,"Anderson, Cliff",,215,1952 - 1953
30,"New Milford , NJ",12/31/1986,Stanford,Unsigned free agent,8,77,"Dray, Jim",TE,255,
27,"Riverside , CA",3/5/1990,Brigham Young,Active,4,74,"Sorensen, Daniel",DB,208,
35,"Fort Pierce , FL",1/10/1982,Kansas State,Retired,5,71,"Figurs, Yamon",,175,2007 - 2011
,"Medford , WI",5/1/1907,USC,Retired,9,72,"Pinckert, Ernie",,197,1932 - 1940
82,"Landis , NC",5/14/1935,Wake Forest,Retired,9,71,"Barnes, Billy",,201,1957 - 1966
52,"San Diego , CA",9/2/1964,Cincinnati,Retired,1,73,"Lathan, Greg",,195,1987 - 1987
65,"Ypsilanti , MI",9/11/1951,Eastern Michigan,Retired,3,76,"Fernandes, Ron",,251,1976 - 1979
77,"Richmond , VA",2/3/1940,Georgia,Retired,1,72,"Tarkenton, Fran",,190,1961 - 1978
26,,12/1/1990,Florida A&M,Retired,1,81,"Mays, Frances",,291,2014 - 2014
,"Lewiston , NY",4/28/1911,Manhattan,Retired,1,72,"Seick, Red",,195,1942 - 1942
33,"Chicago , IL",11/27/1983,Notre Dame,Retired,5,73,"Mays, Corey",,245,2006 - 2010
45,"Elizabeth , NJ",1/20/1972,Rutgers,Retired,2,75,"Catanho, Alcides",,230,1995 - 1996
71,"Beloit , WI",2/27/1946,Northern Arizona,Retired,8,74,"Tillman, Rusty",,230,1970 - 1977
26,"Nichols Hills , OK",9/26/1990,Oklahoma,Active,4,76,"Ikard, Gabe",C,304,
35,"Southfield , MI",6/10/1981,Notre Dame,Retired,5,73,"Earl, Glenn",,213,2004 - 2008
26,"Fort Lauderdale , FL",3/22/1991,Florida Atlantic,Retired,1,77,"Carter, Duron",,205,2015 - 2015
,"Shreveport , LA",7/12/1915,LSU,Retired,1,72,"Leisk, Rube",,195,1937 - 1937
30,"Fort Pierce , FL",4/12/1987,Western Michigan,Retired,7,71,"Delmas, Louis",,208,2009 - 2015
75,"Muenster , TX",12/25/1941,Texas Tech,Retired,1,74,"Parks, Dave",,220,1964 - 1973
,"Atchison , KS",9/1/1899,Nebraska,Retired,1,74,"Bassett, Henry",,215,1924 - 1924
51,"Seattle , WA",12/20/1965,Washington State,Retired,3,78,"Utley, Mike",,288,1989 - 1991
38,"Jacksonville , FL",4/25/1979,Virginia Tech,Retired,9,74,"Lehr, Matt",,304,2001 - 2009
