age,birth_date,college,retirement_status,years_played,height,player_name,position,weight_lbs,year_start,year_end
29,9/1/1987,Boston College,Active,7,76,"Herzlich, Mark",OLB,246,,
26,5/30/1991,Hawaii,Retired,1,75,"Daley, Brenden",,250,2014,2014
33,5/12/1984,Notre Dame,Retired,7,77,"Carlson, John",,248,2008,2014
28,1/16/1989,Fresno State,Active,6,78,"Harris, Bryce",T,300,,
58,9/5/1958,Texas Christian,Retired,1,77,"Talley, Stan",,220,1987,1987
26,7/17/1990,South Carolina,Active,4,76,"Johnson, T.J.",OG,300,,
38,8/12/1978,Wisconsin,Retired,1,71,"Chambers, Chris",,210,2001,2010
34,4/15/1983,Baylor,Retired,4,73,"Allred, Colin",,242,2006,2010
48,10/12/1968,Emporia State,Retired,1,78,"Lett, Leon",,290,1991,2001
53,9/4/1963,LSU,Retired,3,70,"James, Garry",,214,1986,1988
,2/8/1906,Yale,Retired,1,72,"Caldwell, Bruce",,190,1928,1928
27,9/23/1989,Alabama,Active,3,74,"Norwood, Kevin",WR,210,,
97,8/28/1919,New Mexico,Retired,1,72,"Agajanian, Ben",,215,1945,1964
36,4/10/1981,Troy,Retired,1,69,"Reed, Rayshun",,185,2004,2006
27,8/18/1989,Alabama-Birmingham,Active,5,78,"McCants, Matt",T,310,,
,9/5/1909,Michigan,Retired,3,68,"Newman, Harry",,179,1933,1935
25,7/22/1991,Michigan,Active,4,79,"Lewan, Taylor",T,309,,
61,3/7/1956,Fresno State,Retired,6,73,"Glazebrook, Bob",,200,1978,1983
45,4/20/1972,Alabama,Retired,2,75,"Barker, Jay",,220,1995,1996
28,9/7/1988,Delta State,Retired,1,75,"Castile, L.J.",,223,2011,2011
34,11/18/1982,Nevada-Las Vegas,Retired,5,80,"Estandia, Greg",,266,2006,2010
58,12/5/1958,Southern University,Retired,4,70,"Farmer, George",,175,1982,1987
59,9/8/1957,Northwestern,Retired,1,77,"Wells, Norm",,261,1980,1980
27,7/10/1989,Elon,Retired,1,74,"Jeffcoat, Sean",,200,2011,2011
35,12/19/1981,Marshall,Retired,3,74,"Watts, Darius",,190,2004,2006
40,7/10/1976,Miami (Ohio),Retired,4,71,"Armour, JoJuan",,220,1999,2002
40,7/22/1976,Colorado State,Retired,2,76,"Newell, Mike",,300,1999,2002
29,8/19/1987,Oregon,Active,9,71,"Chung, Patrick",SS,215,,
77,5/22/1940,Nebraska,Retired,1,74,"Tingelhoff, Mick",,237,1962,1978
72,12/29/1944,Princeton,Retired,6,70,"Gogolak, Charlie",,165,1966,1972
39,9/10/1977,Iowa,Retired,2,75,"Yamini, Bashir",,201,2000,2001
79,6/9/1937,Maryland,Retired,6,73,"Scotti, Ben",,185,1959,1964
,1/25/1923,Ohio State,Retired,3,71,"Dellerba, Spiro",,200,1947,1949
23,1/26/1994,Alabama,Active,2,73,"Drake, Kenyan",RB,216,,
43,8/9/1973,LSU,Retired,9,73,"Walker, Denard",,190,1997,2005
24,7/15/1992,Miami (Ohio),Active,3,71,"Rollins, Quinten",CB,195,,
34,9/19/1982,Florida State,Retired,4,70,"Reid, Willie",,192,2006,2009
34,9/8/1982,LSU,Retired,8,73,"Daniels, Travis",,195,2005,2012
71,7/1/1945,California,Retired,1,75,"Frantz, Jack",,230,1968,1968
40,2/16/1977,California,Retired,1,75,"Beck, Matt",,238,2000,2000
76,3/15/1941,West Texas A&M,Retired,5,76,"Petrich, Bob",,252,1963,1967
47,3/15/1970,Stanford,Retired,8,75,"Dalman, Chris",,297,1993,2000
24,7/19/1992,Western Kentucky,Active,2,77,"Fant, George",OT,296,,
38,12/23/1978,Florida,Retired,1,73,"Davis, Andra",,255,2002,2011
63,12/12/1953,Southern Methodist,Retired,4,72,"Harrison, Kenny",,176,1976,1980
78,8/22/1938,The Citadel,Retired,1,72,"Maguire, Paul",,228,1960,1970
39,9/1/1977,Notre Dame,Retired,2,75,"O'Leary, Dan",,248,2001,2002
31,4/15/1986,Arizona State,Retired,4,74,"Carpenter, Rudy",,215,2009,2012
33,1/27/1984,Ohio State,Retired,6,78,"Richardson, Jay",,280,2007,2013
64,6/4/1953,Louisiana Tech,Retired,1,75,"Barber, Mike",,235,1976,1985
,8/13/1920,Ohio State,Retired,2,72,"Sarringhaus, Paul",,185,1946,1948
36,12/26/1980,Miami (Fla.),Retired,1,72,"Payton, Jarrett",,220,2005,2006
58,12/16/1958,Brigham Young,Retired,1,75,"Oates, Bart",,275,1985,1995
66,3/11/1951,Penn State,Retired,2,75,"Bannon, Bruce",,225,1973,1974
45,5/30/1972,Houston,Retired,8,73,"Aldridge, Allen",,254,1994,2001
54,12/12/1962,Northern Iowa,Retired,1,71,"Harris, Steve",,194,1987,1987
29,11/7/1987,Rutgers,Retired,2,77,"Barbieri, Howard",,300,2011,2013
69,5/16/1948,South Dakota State,Retired,1,74,"Langer, Jim",,250,1970,1981
34,8/24/1982,Penn State,Retired,1,74,"Zemaitis, Alan",,200,2006,2007
,10/3/1913,San Francisco,Retired,8,72,"Letlow, Russ",,214,1936,1946
26,4/3/1991,Montana,Active,4,76,"Tripp, Jordan",OLB,244,,
,10/23/1914,Mississippi,Retired,9,73,"Kinard, Bruiser",,216,1938,1947
37,6/7/1980,Colorado,Retired,2,75,"Wahlroos, Drew",,240,2004,2006
47,11/17/1969,Tennessee,Retired,2,69,"Webb, Chuck",,201,1991,1992
75,12/21/1941,Wisconsin,Retired,2,76,"Pillath, Roger",,242,1965,1966
34,7/28/1982,Nebraska,Retired,0,72,"Amos, Willie",,186,2006,2006
48,3/20/1969,North Carolina State,Retired,2,76,"Harrison, Todd",,260,1992,1993
74,10/13/1942,Wagner,Retired,5,75,"Kotite, Rich",,230,1967,1972
27,2/1/1990,Palomar Coll. CA (J.C.),Retired,4,71,"Hakim, Saalim",,188,2012,2015
42,5/11/1975,Pittsburgh,Retired,1,72,"Jenkins, John",,188,1998,1998
,2/17/1893,No College,Retired,2,70,"Webb, Art",,210,1920,1922
79,7/24/1937,McNeese State,Retired,6,71,"Harris, Dick",,187,1960,1965
23,11/8/1993,Oklahoma State,Active,1,77,"Bean, Jimmy",DE,251,,
25,9/6/1991,Texas-El Paso,Active,1,74,"Showers, Jameill",QB,230,,
35,2/22/1982,Tennessee,Retired,6,70,"Baker, Rashad",,200,2004,2009
60,10/1/1956,Angelo State,Retired,5,67,"Garrett, Alvin",,178,1980,1984
26,3/30/1991,Montana,Retired,2,79,"Kistler, Danny",,315,2014,2015
28,7/22/1988,Connecticut,Active,6,69,"McClain, Robert",DB,195,,
41,1/7/1976,Texas,Retired,1,73,"Akins, Chris",,323,1998,1998
44,8/11/1972,Grambling State,Retired,1,74,"Ceaser, Curtis",,190,1995,1995
65,11/13/1951,Penn State,Retired,2,74,"Allen, Doug",,228,1974,1975
,1/9/1907,Illinois,Retired,1,71,"Richman, Harry",,186,1929,1929
83,3/2/1934,Ohio State,Retired,8,70,"Cassady, Hopalong",,183,1956,1963
,8/28/1921,No College,Retired,1,72,"Aberson, Cliff",,195,1946,1946
,,Still,Retired,1,,"Regan, Jim",,172,1925,1925
,12/26/1917,Holy Cross,Retired,4,74,"Osmanski, Joe",,218,1946,1949
67,6/24/1949,New Mexico,Retired,2,75,"Scarber, Sam",,230,1975,1976
23,4/26/1994,Ohio State,Active,2,76,"Perry, Joshua",ILB,253,,
28,7/13/1988,Stanford,Retired,1,70,"Gatewood, Corey",,190,2012,2012
58,3/27/1959,North Texas,Retired,2,75,"Battle, Ron",,220,1981,1982
,1/30/1920,Baylor,Retired,7,73,"Nelson, Robert",,214,1941,1950
39,3/2/1978,Florida State,Active,1,73,"Janikowski, Sebastian",K,265,,
,3/15/1964,Hawaii,Retired,9,76,"Hall, Ron",,245,1987,1995
84,6/19/1932,Michigan State,Retired,9,75,"Quinlan, Bill",,248,1957,1965
45,5/8/1972,Ohio State,Retired,8,73,"Sanders, Chris",,188,1995,2002
25,7/18/1991,Boston College,Active,2,79,"Wetzel, John",OT,328,,
37,8/23/1979,Ohio State,Retired,1,77,"Thompson, David",,295,2004,2004
52,1/16/1965,Clemson,Retired,6,73,"Hall, Delton",,195,1987,1992
,8/6/1920,Oklahoma,Retired,5,72,"Campbell, Bill",,195,1945,1949
,7/1/1911,Illinois Wesleyan,Retired,4,71,"Kaska, Tony",,193,1935,1938
,9/5/1896,Illinois,Retired,8,72,"Knop, Oscar",,191,1920,1927
,10/31/1913,Tulsa,Retired,1,70,"Reynolds, Homer",,190,1934,1934
,5/1/1905,Army,Retired,5,70,"Cagle, Chris",,174,1930,1934
35,5/8/1982,Nebraska,Retired,0,76,"Erickson, Mike",,304,2006,2006
28,9/9/1988,Virginia Tech,Retired,4,70,"Carmichael, Roc",,197,2011,2014
,11/25/1929,Indiana,Retired,2,74,"Anderson, Cliff",,215,1952,1953
30,12/31/1986,Stanford,Unsigned free agent,8,77,"Dray, Jim",TE,255,,
27,3/5/1990,Brigham Young,Active,4,74,"Sorensen, Daniel",DB,208,,
35,1/10/1982,Kansas State,Retired,5,71,"Figurs, Yamon",,175,2007,2011
,5/1/1907,USC,Retired,9,72,"Pinckert, Ernie",,197,1932,1940
82,5/14/1935,Wake Forest,Retired,9,71,"Barnes, Billy",,201,1957,1966
52,9/2/1964,Cincinnati,Retired,1,73,"Lathan, Greg",,195,1987,1987
65,9/11/1951,Eastern Michigan,Retired,3,76,"Fernandes, Ron",,251,1976,1979
77,2/3/1940,Georgia,Retired,1,72,"Tarkenton, Fran",,190,1961,1978
26,12/1/1990,Florida A&M,Retired,1,81,"Mays, Frances",,291,2014,2014
,4/28/1911,Manhattan,Retired,1,72,"Seick, Red",,195,1942,1942
33,11/27/1983,Notre Dame,Retired,5,73,"Mays, Corey",,245,2006,2010
45,1/20/1972,Rutgers,Retired,2,75,"Catanho, Alcides",,230,1995,1996
71,2/27/1946,Northern Arizona,Retired,8,74,"Tillman, Rusty",,230,1970,1977
26,9/26/1990,Oklahoma,Active,4,76,"Ikard, Gabe",C,304,,
35,6/10/1981,Notre Dame,Retired,5,73,"Earl, Glenn",,213,2004,2008
26,3/22/1991,Florida Atlantic,Retired,1,77,"Carter, Duron",,205,2015,2015
,7/12/1915,LSU,Retired,1,72,"Leisk, Rube",,195,1937,1937
30,4/12/1987,Western Michigan,Retired,7,71,"Delmas, Louis",,208,2009,2015
75,12/25/1941,Texas Tech,Retired,1,74,"Parks, Dave",,220,1964,1973
,9/1/1899,Nebraska,Retired,1,74,"Bassett, Henry",,215,1924,1924
51,12/20/1965,Washington State,Retired,3,78,"Utley, Mike",,288,1989,1991
38,4/25/1979,Virginia Tech,Retired,9,74,"Lehr, Matt",,304,2001,2009
65,3/14/1952,Sam Houston State,Retired,3,72,"Dirden, Johnnie",,190,1978,1981
24,8/29/1992,Arizona State,Active,3,71,"Randall, Damarious",CB,196,,
,11/19/1903,No College,Retired,2,67,"Vaughan, Harp",,150,1933,1934
24,7/19/1992,Notre Dame,Active,2,72,"Jones, T.J.",WR,190,,
,7/23/1943,Oregon State,Retired,1,76,"Koeper, Rich",,260,1966,1966
,,Texas Christian,Retired,1,76,"Olson, Jeff",,300,2013,2013
25,9/8/1991,Georgia,Active,5,76,"Jones, Abry",DT,318,,
,8/27/1894,No College,Retired,3,68,"Gaulke, Hal",,175,1920,1922
,6/11/1910,Georgia,Retired,1,73,"Whire, Jodie",,185,1933,1933
38,6/4/1979,Menlo College,Retired,7,75,"Jackson, Nate",,235,2003,2009
28,3/14/1989,Oklahoma,Retired,1,75,"Washington, R.J.",,270,2013,2013
72,7/6/1944,Maryland East. Shore,Retired,2,73,"Denson, Moses",,215,1974,1975
73,11/19/1943,Richmond,Retired,1,74,"Emelianchik, Pete",,213,1967,1967
42,2/25/1975,Iowa,Retired,4,69,"Gibson, Damon",,183,1998,2002
,9/1/1897,Navy,Retired,5,67,"Roberts, Wooky",,160,1922,1926
,,No College,Retired,1,70,"Pitts, Alabama",,185,1935,1935
42,8/7/1974,Oregon,Retired,2,70,"Sanchez, Davis",,190,2001,2002
35,12/1/1981,Mississippi,Retired,5,78,"Johnson, Marcus",,321,2005,2009
47,9/20/1969,Texas,Retired,5,77,"Jeter, Tommy",,285,1992,1996
,2/16/1901,Holy Cross,Retired,1,69,"Kennedy, Jimmy",,160,1925,1925
27,8/1/1989,Murray State,Retired,5,73,"Harris, Marcus",,187,2011,2015
,7/8/1939,Tulane,Retired,1,73,"Mason, Tommy",,196,1961,1971
41,5/19/1976,Alabama-Birmingham,Retired,2,74,"Davis, Pernell",,320,1999,2000
,12/27/1920,Texas,Retired,3,74,"Mauldin, Stan",,225,1946,1948
,1/13/1923,Tennessee,Retired,1,77,"Lipscomb, Paul",,246,1945,1954
62,3/30/1955,Texas Southern,Retired,5,75,"Dean, Fred",,253,1977,1982
,8/31/1919,Tulane,Retired,1,71,"Thibaut, Jim",,205,1946,1946
30,2/13/1987,Utah,Retired,4,74,"Johnson, Robert",,206,2010,2013
,6/23/1924,Wisconsin,Retired,1,72,"Johnson, Farnham",,215,1948,1948
40,12/29/1976,Hawaii,Retired,2,75,"Noa, Kaulana",,307,2000,2001
28,9/26/1988,Southern Illinois,Retired,1,72,"Franklin, Stephen",,235,2011,2011
67,7/12/1949,USC,Retired,1,74,"Weaver, Charlie",,220,1971,1981
,8/13/1901,Pittsburgh,Retired,2,73,"Seidelson, Red",,202,1925,1926
43,3/31/1974,Florida,Retired,5,77,"Odom, Jason",,312,1996,2000
42,2/16/1975,Colorado,Retired,1,74,"Savoy, Phil",,195,1998,1998
,8/10/1937,Ohio State,Retired,8,76,"James, Dan",,250,1960,1967
44,9/30/1972,Ohio State,Retired,1,75,"Saunders, Cedric",,240,1995,1995
58,6/30/1958,Colorado,Retired,1,76,"Niziolek, Bob",,220,1981,1981
43,9/3/1973,California,Retired,2,77,"Thure, Brian",,300,1995,1996
39,3/1/1978,Miami (Fla.),Retired,1,74,"Lewis, Damione",,301,2001,2011
,10/10/1905,Creighton,Retired,1,74,"Maillard, Ralph",,190,1929,1929
29,5/20/1988,Monmouth (N.J.),Retired,1,73,"Ottaiano, Tom",,295,2011,2011
37,9/18/1979,Kentucky,Retired,1,70,"Scaldaferri, Stephen",,210,2005,2005
,9/2/1909,Pittsburgh,Retired,6,73,"MacMurdo, Jim",,209,1932,1937
,11/17/1918,Minnesota,Retired,4,75,"Odson, Urban",,251,1946,1949
42,1/14/1975,Oklahoma,Retired,2,74,"Fazande, Jermaine",,255,1999,2000
27,4/5/1990,Louisiana Tech,Retired,1,74,"Cameron, Colby",,210,2013,2013
,5/26/1899,Carroll (Wis.),Retired,1,72,"Quinn, Ivan",,230,1924,1924
59,1/5/1958,Oklahoma State,Retired,1,78,"Taylor, Roger",,271,1981,1981
58,11/5/1958,Illinois,Retired,3,75,"Gillen, John",,227,1981,1983
26,2/12/1991,Cornell,Active,5,76,"Tretter, JC",C,307,,
58,12/7/1958,Michigan,Retired,9,74,"Owens, Mel",,224,1981,1989
44,11/9/1972,Eastern Michigan,Retired,7,73,"Rice, Ron",,217,1995,2001
55,3/2/1962,Cal Poly-S.L.O.,Retired,7,76,"Johnson, Damone",,230,1986,1992
49,5/6/1968,Idaho,Retired,2,69,"Carey, Richard",,185,1989,1990
25,4/21/1992,Nebraska,Active,2,78,"Lewis, Alex",OG,315,,
,10/10/1933,Wisconsin,Retired,4,76,"Temp, Jim",,245,1957,1960
37,1/26/1980,Princeton,Retired,9,77,"Norman, Dennis",,313,2001,2009
35,3/14/1982,Georgia Tech,Unsigned free agent,1,74,"Smith, Daryl",OLB,250,,
44,3/3/1973,Louisville,Retired,1,75,"Campos, Alan",,236,1996,1996
28,9/4/1988,Colorado State-Pueblo,Retired,2,74,"Vaughn, Chase",,248,2014,2015
27,4/12/1990,Abilene Christian,Unsigned free agent,4,71,"Richardson, Daryl",RB,196,,
26,8/29/1990,Delaware,Active,4,74,"Kerr, Zach",NT,334,,
,1/1/1905,Villanova,Retired,1,71,"Andrulewicz, Teddy",,175,1930,1930
55,12/6/1961,Wake Forest,Retired,1,76,"Campbell, Glen",,280,1987,1987
79,3/4/1938,New Mexico,Retired,8,70,"Perkins, Don",,204,1961,1968
55,10/3/1961,Furman,Retired,6,70,"Gibson, Ernest",,189,1984,1989
