player,position,C,D,LW,RW,retire_year,retire_age,years_played
Anthony Stewart\stewaan01,RW,0,0,0,1,2012,27,7
Antoine Roussel\roussan01,LW,0,0,1,0,2017,27,5
Antoine Vermette\vermean01,LW,0,0,1,0,2017,34,12
Anton Babchuk\babchan01,D,0,1,0,0,2013,28,8
Anton Belov\belovan01,D,0,1,0,0,2014,27,1
Anton Blidh\blidhan01,LW,0,0,1,0,2017,21,1
Anton Klementyev\klemean01,D,0,1,0,0,2010,19,1
Anton Lander\landean01,C,1,0,0,0,2017,25,6
Anton Lindholm\lindhan01,D,0,1,0,0,2017,22,1
Anton Rodin\rodinan01,RW,0,0,0,1,2017,26,1
Anton Slepyshev\slepyan01,RW,0,0,0,1,2017,22,2
Anton Stralman\stralan01,D,0,1,0,0,2017,30,10
Anton Volchenkov\volchan01,D,0,1,0,0,2015,32,10
Antti Laaksonen\laaksan01,LW,0,0,1,0,2009,33,2
Antti Miettinen\miettan01,RW,0,0,0,1,2013,32,8
Antti Pihlstrom\pihlsan01,LW,0,0,1,0,2009,24,2
Anze Kopitar\kopitan01,C,1,0,0,0,2017,29,11
Arron Asham\ashamar01,RW,0,0,0,1,2014,35,9
Artem Anisimov\anisiar01,C,1,0,0,0,2017,28,9
Artemi Panarin\panarar01,LW,0,0,1,0,2017,25,2
Artturi Lehkonen\lehkoar01,LW,0,0,1,0,2017,21,1
Arturs Kulda\kuldaar01,D,0,1,0,0,2012,23,3
Austin Czarnik\czarnau01,C,1,0,0,0,2017,24,1
Austin Watson\watsoau01,RW,0,0,0,1,2017,25,5
Auston Matthews\matthau01,C,1,0,0,0,2017,19,1
B.J. Crombeen\crombbj01,RW,0,0,0,1,2015,29,8
Barclay Goodrow\goodrba01,RW,0,0,0,1,2017,23,3
Barret Jackman\jackmba01,D,0,1,0,0,2016,34,11
Barry Tallackson\tallaba01,RW,0,0,0,1,2009,25,4
Bates Battaglia\battaba01,LW,0,0,1,0,2009,32,2
Beau Bennett\bennebe01,RW,0,0,0,1,2017,25,5
Ben Chiarot\chiarbe01,D,0,1,0,0,2017,25,4
Ben Clymer\clymebe01,RW,0,0,0,1,2009,28,2
Ben Eager\eagerbe01,LW,0,0,1,0,2014,30,9
Ben Guite\guitebe01,RW,0,0,0,1,2010,31,5
Ben Hanowski\hanowbe01,RW,0,0,0,1,2014,23,2
Ben Harpur\harpube01,D,0,1,0,0,2017,22,2
Ben Holmstrom\holmsbe01,C,1,0,0,0,2012,24,2
Ben Hutton\huttobe01,D,0,1,0,0,2017,23,2
Ben Lovejoy\lovejbe01,D,0,1,0,0,2017,32,9
Ben Maxwell\maxwebe01,C,1,0,0,0,2012,23,4
Ben Ondrus\ondrube01,RW,0,0,0,1,2009,26,4
Ben Simon\simonbe01,C,1,0,0,0,2006,27,1
Ben Smith\smithbe01,RW,0,0,0,1,2017,28,7
Ben Street\streebe01,C,1,0,0,0,2017,29,5
Ben Thomson\thomsbe01,LW,0,0,1,0,2017,24,1
Ben Walter\waltebe01,C,1,0,0,0,2010,25,5
Benn Ferriero\ferribe01,RW,0,0,0,1,2014,26,5
Benoit Pouliot\poulibe01,LW,0,0,1,0,2017,30,11
Bill Arnold\arnolbi01,C,1,0,0,0,2014,21,1
Bill Guerin\gueribi01,RW,0,0,0,1,2010,39,5
Bill Sweatt\sweatbi01,LW,0,0,1,0,2013,24,2
Bill Thomas\thomabi01,RW,0,0,0,1,2012,28,7
Bjorn Melin\melinbj01,RW,0,0,0,1,2009,25,1
Blair Betts\bettsbl01,C,1,0,0,0,2011,30,6
Blair Jones\jonesbl01,C,1,0,0,0,2015,28,9
Blake Coleman\colembl01,C,1,0,0,0,2017,25,1
Blake Comeau\comeabl01,RW,0,0,0,1,2017,30,11
Blake Geoffrion\geoffbl01,LW,0,0,1,0,2012,23,2
Blake Pietila\pietibl01,LW,0,0,1,0,2017,23,2
Blake Speers\speerbl01,C,1,0,0,0,2017,20,1
Blake Wheeler\wheelbl01,RW,0,0,0,1,2017,30,9
Bo Horvat\horvabo01,C,1,0,0,0,2017,21,3
Bob Boughner\boughbo01,D,0,1,0,0,2006,34,1
Bobby Allen\allenbo01,D,0,1,0,0,2009,29,2
Bobby Butler\butlebo01,RW,0,0,0,1,2014,26,5
Bobby Farnham\farnhbo01,RW,0,0,0,1,2017,28,3
Bobby Holik\holikbo01,C,1,0,0,0,2009,38,4
Bobby Robins\robinbo01,C,1,0,0,0,2015,33,1
Bobby Ryan\ryanbo01,RW,0,0,0,1,2017,29,10
Bobby Sanguinetti\sangubo01,D,0,1,0,0,2013,24,4
Bogdan Yakimov\yakimbo01,C,1,0,0,0,2015,20,1
Boone Jenner\jennebo01,C,1,0,0,0,2017,23,4
Boris Valabik\valabbo01,D,0,1,0,0,2010,23,3
Borna Rendulic\rendubo01,RW,0,0,0,1,2017,24,3
Boyd Devereaux\deverbo01,C,1,0,0,0,2009,30,4
Boyd Gordon\gordobo01,RW,0,0,0,1,2017,33,12
Boyd Kane\kanebo01,LW,0,0,1,0,2010,31,5
Bracken Kearns\kearnbr01,LW,0,0,1,0,2017,35,6
Brad Boyes\boyesbr01,RW,0,0,0,1,2016,33,11
Brad Ference\ferenbr01,D,0,1,0,0,2009,27,1
Brad Hunt\huntbr01,D,0,1,0,0,2017,28,4
Brad Isbister\isbisbr01,RW,0,0,0,1,2009,30,3
Brad Larsen\larsebr01,LW,0,0,1,0,2009,30,3
Brad Lukowich\lukowbr01,D,0,1,0,0,2011,34,6
Brad Marchand\marchbr03,LW,0,0,1,0,2017,28,8
Brad May\maybr01,LW,0,0,1,0,2010,38,5
Brad Mills\millsbr01,C,1,0,0,0,2014,30,4
Brad Moran\moranbr01,C,1,0,0,0,2009,27,1
Brad Norton\nortobr01,D,0,1,0,0,2009,31,2
Brad Richards\richabr01,C,1,0,0,0,2016,35,11
Brad Richardson\richabr02,RW,0,0,0,1,2017,31,12
Brad Staubitz\staubbr01,RW,0,0,0,1,2013,28,5
Brad Stuart\stuarbr02,D,0,1,0,0,2016,36,11
Brad Winchester\winchbr01,LW,0,0,1,0,2012,30,7
Brady Austin\austibr01,D,0,1,0,0,2017,23,1
Brady Murray\murrabr01,LW,0,0,1,0,2008,23,1
Brady Skjei\skjeibr01,D,0,1,0,0,2017,22,2
Brandon Bochenski\bochebr01,RW,0,0,0,1,2010,27,5
Brandon Bollig\bollibr01,LW,0,0,1,0,2016,29,5
Brandon Carlo\carlobr01,D,0,1,0,0,2017,20,1
Brandon Davidson\davidbr01,D,0,1,0,0,2017,25,3
Brandon DeFazio\defazbr01,LW,0,0,1,0,2015,26,1
Brandon Dubinsky\dubinbr01,C,1,0,0,0,2017,30,11
Brandon Gormley\gormlbr01,D,0,1,0,0,2016,23,3
Brandon Kozun\kozunbr01,RW,0,0,0,1,2015,24,1
Brandon Manning\mannibr01,D,0,1,0,0,2017,26,6
Brandon Mashinter\mashibr01,LW,0,0,1,0,2016,27,6
Brandon McMillan\mcmilbr01,LW,0,0,1,0,2015,24,5
Brandon Montour\montobr01,D,0,1,0,0,2017,22,1
Brandon Nolan\nolanbr01,C,1,0,0,0,2008,24,1
Brandon Pirri\pirribr01,RW,0,0,0,1,2017,25,7
Brandon Prust\prustbr01,RW,0,0,0,1,2016,31,10
Brandon Reid\reidbr01,C,1,0,0,0,2009,25,1
Brandon Saad\saadbr01,LW,0,0,1,0,2017,24,6
Brandon Segal\segalbr01,RW,0,0,0,1,2013,29,5
Brandon Sutter\suttebr03,C,1,0,0,0,2017,27,9
Brandon Tanev\tanevbr01,LW,0,0,1,0,2017,25,2
Brandon Yip\yipbr01,RW,0,0,0,1,2014,28,5
Branislav Mezei\mezeibr01,D,0,1,0,0,2009,27,3
Branko Radivojevic\radivbr01,RW,0,0,0,1,2009,27,3
Brayden Irwin\irwinbr01,C,1,0,0,0,2010,22,1
Brayden McNabb\mcnabbr01,D,0,1,0,0,2017,26,6
Brayden Point\pointbr01,C,1,0,0,0,2017,20,1
Brayden Schenn\schenbr01,C,1,0,0,0,2017,25,8
Braydon Coburn\coburbr01,D,0,1,0,0,2017,31,12
Brendan Bell\bellbr02,D,0,1,0,0,2012,28,7
Brendan Gallagher\gallabr01,RW,0,0,0,1,2017,24,5
Brendan Gaunce\gauncbr01,LW,0,0,1,0,2017,22,2
Brendan Guhle\guhlebr01,D,0,1,0,0,2017,19,1
Brendan Leipsic\leipsbr01,LW,0,0,1,0,2016,21,1
Brendan Mikkelson\mikkebr01,D,0,1,0,0,2013,25,5
Brendan Morrison\morribr01,C,1,0,0,0,2012,36,7
Brendan Perlini\perlibr01,LW,0,0,1,0,2017,20,1
Brendan Ranford\ranfobr01,LW,0,0,1,0,2015,22,1
Brendan Shanahan*\shanabr01,LW,0,0,1,0,2009,40,4
Brendan Shinnimin\shinnbr01,C,1,0,0,0,2015,24,1
Brendan Smith\smithbr05,D,0,1,0,0,2017,27,6
Brendan Witt\wittbr01,D,0,1,0,0,2010,34,5
Brendan Woods\woodsbr01,LW,0,0,1,0,2016,23,2
Brenden Dillon\dillobr01,D,0,1,0,0,2017,26,6
Brenden Morrow\morrobr01,LW,0,0,1,0,2015,36,10
Brendon Nash\nashbr01,D,0,1,0,0,2011,23,1
Brent Burns\burnsbr01,RW,0,0,0,1,2017,31,12
Brent Regner\regnebr01,D,0,1,0,0,2016,26,1
Brent Seabrook\seabrbr01,D,0,1,0,0,2017,31,12
Brent Sopel\sopelbr01,D,0,1,0,0,2011,34,6
Bret Hedican\hedicbr01,D,0,1,0,0,2009,38,4
Brett Bellemore\bellebr01,D,0,1,0,0,2015,26,3
Brett Bulmer\bulmebr01,RW,0,0,0,1,2016,23,5
Brett Carson\carsobr01,D,0,1,0,0,2013,27,5
Brett Clark\clarkbr01,D,0,1,0,0,2013,36,8
Brett Connolly\connobr01,RW,0,0,0,1,2017,24,6
Brett Festerling\festebr01,D,0,1,0,0,2012,25,4
Brett Gallant\gallabr02,LW,0,0,1,0,2014,25,1
Brett Hull*\hullbr01,RW,0,0,0,1,2006,41,1
Brett Kulak\kulakbr01,D,0,1,0,0,2017,23,3
Brett Lebda\lebdabr01,D,0,1,0,0,2012,30,7
Brett Lernout\lernobr01,D,0,1,0,0,2017,21,2
Brett Maclean\maclebr02,LW,0,0,1,0,2012,23,2
Brett McLean\mcleabr01,C,1,0,0,0,2009,30,4
Brett Pesce\pescebr01,D,0,1,0,0,2017,22,2
Brett Ritchie\ritchbr01,RW,0,0,0,1,2017,23,3
Brett Skinner\skinnbr01,D,0,1,0,0,2009,25,1
Brett Sterling\sterlbr01,LW,0,0,1,0,2012,27,5
Brett Sutter\suttebr04,LW,0,0,1,0,2015,27,7
Brian Boyle\boylebr01,C,1,0,0,0,2017,32,10
Brian Campbell\campbbr02,D,0,1,0,0,2017,37,12
Brian Dumoulin\dumoubr01,D,0,1,0,0,2017,25,4
Brian Fahey\faheybr01,D,0,1,0,0,2011,29,1
Brian Ferlin\ferlibr01,RW,0,0,0,1,2015,22,1
Brian Flynn\flynnbr01,RW,0,0,0,1,2017,28,5
Brian Gibbons\gibbobr02,C,1,0,0,0,2015,26,2
Brian Gionta\giontbr01,RW,0,0,0,1,2017,38,12
Brian Lashoff\lashobr01,D,0,1,0,0,2017,26,5
Brian Lee\leebr01,D,0,1,0,0,2013,25,6
Brian Leetch*\leetcbr01,D,0,1,0,0,2006,37,1
Brian McGrattan\mcgrabr01,RW,0,0,0,1,2015,33,10
Brian O'Neill\oneilbr01,C,1,0,0,0,2016,27,1
Brian Pothier\pothibr01,D,0,1,0,0,2010,32,5
Brian Rafalski\rafalbr01,D,0,1,0,0,2011,37,6
Brian Rolston\rolstbr01,RW,0,0,0,1,2012,38,7
Brian Salcido\salcibr01,D,0,1,0,0,2009,23,1
Brian Savage\savagbr01,LW,0,0,1,0,2006,34,1
Brian Strait\straibr01,D,0,1,0,0,2017,29,7
Brian Sutherby\suthebr01,C,1,0,0,0,2011,28,6
Brian Willsie\willsbr01,RW,0,0,0,1,2011,32,6
Brock Boeser\boesebr01,RW,0,0,0,1,2017,19,1
Brock McGinn\mcginbr01,LW,0,0,1,0,2017,22,2
Brock Nelson\nelsobr01,LW,0,0,1,0,2017,25,4
Brock Trotter\trottbr02,C,1,0,0,0,2010,22,1
Brodie Dupont\duponbr01,C,1,0,0,0,2011,23,1
Brody Sutter\suttebr05,C,1,0,0,0,2016,24,2
Brooks Laich\laichbr01,C,1,0,0,0,2016,32,11
Brooks Orpik\orpikbr01,D,0,1,0,0,2017,36,12
Bruno Gervais\gervabr01,D,0,1,0,0,2013,28,8
Bruno St. Jacques\stjacbr01,D,0,1,0,0,2006,25,1
Bryan Allen\allenbr01,D,0,1,0,0,2015,34,10
Bryan Berard\berarbr01,D,0,1,0,0,2009,30,3
Bryan Bickell\bickebr01,LW,0,0,1,0,2017,30,11
Bryan Helmer\helmebr01,D,0,1,0,0,2009,36,1
Bryan Lerg\lergbr01,C,1,0,0,0,2016,30,2
Bryan Little\littlbr01,RW,0,0,0,1,2017,29,10
Bryan Marchment\marchbr02,D,0,1,0,0,2006,36,1
Bryan McCabe\mccabbr01,D,0,1,0,0,2011,35,6
Bryan Muir\muirbr01,D,0,1,0,0,2009,33,2
Bryan Rodney\rodnebr01,D,0,1,0,0,2012,27,4
Bryan Rust\rustbr01,RW,0,0,0,1,2017,24,3
Bryan Smolinski\smolibr01,C,1,0,0,0,2009,36,3
Bryan Young\youngbr02,D,0,1,0,0,2009,21,2
Bryce Lampman\lampmbr01,D,0,1,0,0,2009,24,2
Bryce Salvador\salvabr01,D,0,1,0,0,2015,38,10
Bryce Van Brabant\vanbrbr01,LW,0,0,1,0,2014,22,1
Bud Holloway\hollobu01,C,1,0,0,0,2016,27,1
Buddy Robinson\robinbu01,RW,0,0,0,1,2017,25,2
Byron Bitz\bitzby01,RW,0,0,0,1,2012,27,4
Byron Froese\froesby01,C,1,0,0,0,2017,25,2
Byron Ritchie\ritchby01,C,1,0,0,0,2009,30,3
C.J. Smith\smithcj01,LW,0,0,1,0,2017,22,1
Cade Fairchild\faircca01,D,0,1,0,0,2012,23,1
Cal Clutterbuck\cluttca01,RW,0,0,0,1,2017,29,10
Cal O'Reilly\oreilca01,C,1,0,0,0,2017,30,9
Cale Hulse\hulseca01,D,0,1,0,0,2006,32,1
Calle Jarnkrok\jarnkca01,C,1,0,0,0,2017,25,4
Calvin de Haan\dehaaca01,D,0,1,0,0,2017,25,6
Cam Atkinson\atkinca01,RW,0,0,0,1,2017,27,6
Cam Barker\barkeca01,D,0,1,0,0,2013,26,8
Cam Fowler\fowleca01,D,0,1,0,0,2017,25,7
Cam Janssen\janssca01,RW,0,0,0,1,2014,29,9
Cam Paddock\paddoca01,C,1,0,0,0,2009,25,1
Cam Severson\severca01,LW,0,0,1,0,2006,28,1
Cameron Gaunce\gauncca01,D,0,1,0,0,2017,26,7
Cameron Schilling\schilca01,D,0,1,0,0,2015,26,3
Carl Corazzini\corazca01,C,1,0,0,0,2009,27,1
Carl Gunnarsson\gunnaca01,D,0,1,0,0,2017,30,8
Carl Hagelin\hagelca01,LW,0,0,1,0,2017,28,6
Carl Klingberg\klingca01,LW,0,0,1,0,2015,24,5
Carl Sneep\sneepca01,D,0,1,0,0,2012,24,1
Carl Soderberg\soderca01,C,1,0,0,0,2017,31,5
Carlo Colaiacovo\colaica01,D,0,1,0,0,2016,33,11
Carsen Germyn\germyca01,C,1,0,0,0,2009,24,2
Carson McMillan\mcmilca01,RW,0,0,0,1,2014,25,4
Carter Ashton\ashtoca01,RW,0,0,0,1,2015,23,4
Carter Bancks\banckca01,LW,0,0,1,0,2013,23,1
Carter Camper\campeca01,C,1,0,0,0,2012,23,1
Carter Rowney\rowneca01,RW,0,0,0,1,2017,27,1
Casey Bailey\baileca01,RW,0,0,0,1,2017,25,3
Casey Borer\borerca01,D,0,1,0,0,2010,24,3
Casey Cizikas\cizikca01,C,1,0,0,0,2017,25,6
Casey Nelson\nelsoca01,D,0,1,0,0,2017,24,2
Casey Wellman\wellmca01,C,1,0,0,0,2014,26,5
Cedric Paquette\paquece01,C,1,0,0,0,2017,23,4
Chad Billins\billich01,D,0,1,0,0,2014,24,1
Chad Kilger\kilgech01,LW,0,0,1,0,2009,31,3
Chad Kolarik\kolarch01,RW,0,0,0,1,2011,25,2
Chad Larose\larosch01,RW,0,0,0,1,2013,30,8
Chad Rau\rauch01,C,1,0,0,0,2012,25,1
Chad Ruhwedel\ruhwech01,D,0,1,0,0,2017,26,5
Chad Wiseman\wisemch01,LW,0,0,1,0,2006,24,1
Chandler Stephenson\stephch02,C,1,0,0,0,2017,22,2
Charles Hudon\hudonch01,LW,0,0,1,0,2017,22,2
Charles Linglet\linglch01,LW,0,0,1,0,2010,27,1
Charlie Coyle\coylech01,C,1,0,0,0,2017,24,5
Chase De Leo\deleoch01,C,1,0,0,0,2016,20,1
Chay Genoway\genowch01,D,0,1,0,0,2012,25,1
Chris Bigras\bigrach01,D,0,1,0,0,2016,20,1
Chris Bourque\bourqch01,LW,0,0,1,0,2013,27,6
Chris Brown\brownch01,C,1,0,0,0,2016,24,4
Chris Butler\butlech01,D,0,1,0,0,2017,30,9
Chris Campoli\campoch01,D,0,1,0,0,2012,27,7
Chris Chelios*\chelich01,D,0,1,0,0,2010,48,5
Chris Clark\clarkch01,RW,0,0,0,1,2011,34,6
Chris Conner\connech01,RW,0,0,0,1,2015,31,9
Chris Didomenico\didomch01,RW,0,0,0,1,2017,27,1
